slice_num,dataset,start_index,end_index,bear_facts,exclude_aliases,matcher_type,num_rows_after_tokenized
1,shuffled_wikipedia_20231101_en,0,152567,BEAR-small,False,simple,929455
2,shuffled_wikipedia_20231101_en,152567,305134,BEAR-small,False,simple,936169
3,shuffled_wikipedia_20231101_en,305134,457701,BEAR-small,False,simple,937060
4,shuffled_wikipedia_20231101_en,457701,610268,BEAR-small,False,simple,939856
5,shuffled_wikipedia_20231101_en,610268,762835,BEAR-small,False,simple,943458
6,shuffled_wikipedia_20231101_en,762835,915402,BEAR-small,False,simple,937801
7,shuffled_wikipedia_20231101_en,915402,1067969,BEAR-small,False,simple,930899
8,shuffled_wikipedia_20231101_en,1067969,1220536,BEAR-small,False,simple,928712
9,shuffled_wikipedia_20231101_en,1220536,1373103,BEAR-small,False,simple,938000
10,shuffled_wikipedia_20231101_en,1373103,1525670,BEAR-small,False,simple,931729
11,shuffled_wikipedia_20231101_en,1525670,1678237,BEAR-small,False,simple,931826
12,shuffled_wikipedia_20231101_en,1678237,1830804,BEAR-small,False,simple,931999
13,shuffled_wikipedia_20231101_en,1830804,1983371,BEAR-small,False,simple,930049
14,shuffled_wikipedia_20231101_en,1983371,2135938,BEAR-small,False,simple,933259
15,shuffled_wikipedia_20231101_en,2135938,2288505,BEAR-small,False,simple,940752
16,shuffled_wikipedia_20231101_en,2288505,2441072,BEAR-small,False,simple,932316
17,shuffled_wikipedia_20231101_en,2441072,2593639,BEAR-small,False,simple,936462
18,shuffled_wikipedia_20231101_en,2593639,2746206,BEAR-small,False,simple,936507
19,shuffled_wikipedia_20231101_en,2746206,2898773,BEAR-small,False,simple,936372
20,shuffled_wikipedia_20231101_en,2898773,3051340,BEAR-small,False,simple,933759
21,shuffled_wikipedia_20231101_en,3051340,3203907,BEAR-small,False,simple,932577
22,shuffled_wikipedia_20231101_en,3203907,3356474,BEAR-small,False,simple,935354
23,shuffled_wikipedia_20231101_en,3356474,3509041,BEAR-small,False,simple,932984
24,shuffled_wikipedia_20231101_en,3509041,3661608,BEAR-small,False,simple,937792
25,shuffled_wikipedia_20231101_en,3661608,3814175,BEAR-small,False,simple,927613
26,shuffled_wikipedia_20231101_en,3814175,3966742,BEAR-small,False,simple,932495
27,shuffled_wikipedia_20231101_en,3966742,4119309,BEAR-small,False,simple,936356
28,shuffled_wikipedia_20231101_en,4119309,4271876,BEAR-small,False,simple,940807
29,shuffled_wikipedia_20231101_en,4271876,4424443,BEAR-small,False,simple,934879
30,shuffled_wikipedia_20231101_en,4424443,4577010,BEAR-small,False,simple,927006
31,shuffled_wikipedia_20231101_en,4577010,4729577,BEAR-small,False,simple,931540
32,shuffled_wikipedia_20231101_en,4729577,4882144,BEAR-small,False,simple,933924
33,shuffled_wikipedia_20231101_en,4882144,5034711,BEAR-small,False,simple,939207
34,shuffled_wikipedia_20231101_en,5034711,5187278,BEAR-small,False,simple,937851
35,shuffled_wikipedia_20231101_en,5187278,5339845,BEAR-small,False,simple,940598
36,shuffled_wikipedia_20231101_en,5339845,5492412,BEAR-small,False,simple,937407
37,shuffled_wikipedia_20231101_en,5492412,5644979,BEAR-small,False,simple,933942
38,shuffled_wikipedia_20231101_en,5644979,5797546,BEAR-small,False,simple,932520
39,shuffled_wikipedia_20231101_en,5797546,5950113,BEAR-small,False,simple,934220
40,shuffled_wikipedia_20231101_en,5950113,6102680,BEAR-small,False,simple,944376
41,shuffled_wikipedia_20231101_en,6102680,6255247,BEAR-small,False,simple,928567
42,shuffled_wikipedia_20231101_en,6255247,6407815,BEAR-small,False,simple,934834
